PlotYear,DaysToAnthesis,DaysToSilking,ASI,Moisture,KernelDryWt,TestWeight,EarHeight,EarHt2,FlagHeight,FlagHeight2,RootLodging,StalkLodging,StandCount,StandCount2,AdjustedYield15.5,EarLeaf,TotalLeaves,LeafExpansionRate,R2LeafN,R2LeafS,R2LeafP,R2LeafK,R2LeafMg,R2LeafCa,R2LeafFe,R2LeafMn,R2LeafCu,R2LeafZn,GrainN,GrainS,GrainCu,GrainFe,GrainMn,GrainK,GrainZn,GrainMg,GrainP
9840_2020,62,61,1,0.261,,52.9,140,,262,,1,0,84,,191.1002862,15,20.5,0.014600088,3.24,0.22,0.27,1.56,0.17,0.59,111,103,11,26,,,,,,,,,
9841_2020,61,62,-1,0.284,,52.1,129.5,,252,,0,1,82,,159.2070303,14,21,0.013554196,2.98,0.2,0.25,1.51,0.19,0.62,91,63,8,24,,,,,,,,,
9842_2020,62,63,-1,0.287,,49.7,146.5,,247.5,,2,1,85,,142.1270036,14,19,0.012780377,3.4,0.26,0.3,1.68,0.25,0.9,108,179,14,48,1.3335,0.11,3.4,23,7.2,0.45,17.8,0.11,0.26
9843_2020,62,64,-2,0.271,,53.6,140.5,,226.5,,1,0,75,,165.8473387,14,19,0.010688593,3.58,0.23,0.27,1.38,0.25,0.77,100,166,13,33,1.2405,0.1,2.7,21.9,5.1,0.34,19.5,0.1,0.25
9847_2020,65,69,-4,0.268,,53.5,105.5,,191,,0,0,88,,100.6689242,14,18,0.012780377,2.2,0.15,0.2,1.64,0.19,0.44,80,45,5,21,1.026,0.09,2.7,22.8,4.2,0.37,18.7,0.11,0.26
9848_2020,62,65,-3,0.272,,52.6,131.5,,212,,0,11,82,,132.3165835,14,19,0.012006558,2.34,0.17,0.21,1.47,0.21,0.56,85,46,5,23,,,,,,,,,
9851_2020,60,61,-1,0.24,,52,120,,210.5,,0,6,75,,125.2744285,13.5,18.5,0.012508304,2.51,0.19,0.23,1.62,0.2,0.74,101,72,9,30,,,,,,,,,
9852_2020,69,70,-1,0.289,,51.4,134,,232,,0,1,87,,149.0335097,14,16.5,0.012508304,2.46,0.17,0.22,1.6,0.19,0.66,88,68,9,34,,,,,,,,,
9853_2020,63,64,-1,0.152,,53,123.5,,231,,29,18,82,,100.1762838,12,18.5,0.011734485,2.61,0.18,0.24,1.8,0.18,0.76,78,71,8,23,,,,,,,,,
9854_2020,64,66,-2,0.144,,50.1,155.5,,246.5,,0,14,85,,84.07440724,14,18,0.010688593,2.21,0.15,0.2,2.1,0.14,0.51,62,61,6,30,0.8805,0.08,2.1,18.5,4.9,0.4,18.4,0.1,0.25
9856_2020,64,65,-1,0.156,,52.7,125,,228,,0,14,84,,87.81246517,14.5,19,0.012508304,2.54,0.19,0.21,1.58,0.29,0.76,87,66,8,23,,,,,,,,,
9859_2020,65,69,-4,0.12,,52.4,134.5,,237,,0,17,88,,67.21214134,14,17.5,0.010960666,2.25,0.15,0.19,1.81,0.18,0.53,71,47,6,30,,,,,,,,,
9860_2020,65,66,-1,0.13,,53.8,138,,238.5,,0,22,82,,76.31412405,13.5,17,0.009642701,2.69,0.2,0.23,1.83,0.24,0.64,95,44,9,27,0.9705,0.09,2.3,20.6,4.1,0.41,18,0.1,0.23
9861_2020,63,67,-4,0.254,,53.9,136.5,,224,,0,18,87,,91.84421188,14,18.5,0.012006558,1.97,0.15,0.18,1.86,0.22,0.5,66,45,5,24,0.987,0.1,2.8,21.9,3.7,0.37,18.5,0.1,0.26
9862_2020,63,65,-2,0.149,,50.8,128,,243,,0,2,82,,105.9049534,14,18,0.011734485,2.52,0.19,0.22,1.66,0.21,0.64,87,49,8,22,,,,,,,,,
9863_2020,59,59,0,0.185,,57.1,113,,220,,0,7,87,,99.53204056,12,18,0.013554196,2.09,0.15,0.18,2.04,0.17,0.7,64,49,7,22,,,,,,,,,
9864_2020,59,63,-4,0.148,,54.9,120.5,,209.5,,0,10,83,,89.38355207,13.5,17.5,0.010960666,2.28,0.17,0.21,1.49,0.24,0.75,76,49,7,29,,,,,,,,,
9865_2020,63,62,1,0.153,,56.5,110,,227,,0,51,87,,84.16475368,13,19.5,0.01305245,2.14,0.16,0.2,1.79,0.23,0.64,65,30,5,21,,,,,,,,,
9866_2020,62,62,0,0.197,,53.4,133.5,,219.5,,0,4,78,,106.2003668,14,19,0.013554196,2.22,0.18,0.2,1.83,0.23,0.69,71,60,9,37,,,,,,,,,
9867_2020,62,65,-3,0.133,,53.6,113,,209.5,,0,6,87,,58.52077707,12,18,0.013554196,1.93,0.14,0.18,1.74,0.21,0.62,76,31,6,20,1.0725,0.1,3.1,22.1,5.4,0.37,22.3,0.13,0.33
9869_2020,63,62,1,0.141,,54.1,118.5,,228.5,,0,55,84,,90.25996811,13,19.5,0.013826269,2.13,0.16,0.22,1.82,0.26,0.68,73,25,6,21,,,,,,,,,
9870_2020,67,70,-3,0.278,,51.4,128.5,,216.5,,0,9,88,,131.1957762,14.5,16,0.010416519,2.53,0.17,0.2,1.5,0.19,0.61,90,63,8,29,,,,,,,,,
9871_2020,63,66,-3,0.131,,51.6,117.5,,236.5,,0,2,83,,96.36608486,14,19.5,0.013554196,2.22,0.16,0.19,1.71,0.23,0.57,68,40,6,20,,,,,,,,,
9872_2020,64,66,-2,0.126,,51.6,131,,243.5,,0,12,84,,68.10633261,14,19,0.011462411,2.65,0.19,0.23,1.84,0.21,0.6,90,52,8,26,0.951,0.09,2.7,24.3,5.2,0.42,21.5,0.1,0.25
9873_2020,64,67,-3,0.125,,54.1,105,,176.5,,0,0,86,,68.67164672,13.5,18,0.011734485,2.45,0.18,0.22,1.82,0.31,0.62,91,55,7,35,1.2015,0.11,3.2,29.6,4.6,0.39,23.1,0.13,0.34
9874_2020,61,62,-1,0.155,,57.3,112.5,,208.5,,0,0,84,,79.61465954,12,18,0.012508304,2.02,0.16,0.18,2.13,0.22,0.88,64,57,5,25,,,,,,,,,
9875_2020,64,66,-2,0.13,,54.3,127,,218,,0,1,84,,70.20523704,15,18,0.012508304,2.12,0.17,0.21,1.63,0.29,0.64,85,33,7,25,,,,,,,,,
9876_2020,63,62,1,0.239,,55.4,103.5,,188.5,,0,4,87,,114.5221035,13,17.5,0.010688593,2.18,0.16,0.18,1.44,0.26,0.65,69,37,6,23,,,,,,,,,
9877_2020,65,66,-1,0.277,,52.5,121.5,,215,,0,0,87,,149.7933766,14,19.5,0.012508304,2.32,0.18,0.22,1.37,0.29,0.7,88,47,7,28,,,,,,,,,
9880_2020,64,66,-2,0.154,,53.1,124,,214,,0,12,87,,98.18385299,14,18,0.010688593,2.31,0.18,0.22,1.89,0.24,0.51,83,53,8,27,0.981,0.1,3.2,25.2,4.5,0.4,21.2,0.11,0.29
9881_2020,62,63,-1,0.13,,56.4,106.5,,203,,0,4,87,,60.00075527,12,18,0.012780377,2.17,0.15,0.2,1.74,0.27,0.61,71,47,6,22,1.098,0.1,3,24.5,6.4,0.38,23.1,0.13,0.34
9882_2020,65,69,-4,0.0491,,49.6,129,,219.5,,0,14,84,,58.21925624,13.5,17,0.009914774,2.19,0.17,0.22,1.87,0.26,0.64,70,52,7,35,0.9165,0.09,4.3,28,7.4,0.48,20.8,0.12,0.28
9884_2020,61,62,-1,0.15,,57.5,131,,216,,0,10,84,,63.45780281,14,17,0.012780377,2.24,0.18,0.22,1.92,0.26,0.65,72,51,7,29,,,,,,,,,
9885_2020,60,60,0,0.152,,57,122,,207.5,,0,6,82,,85.89545421,13,18,0.015144234,2.85,0.22,0.26,1.94,0.29,0.85,88,78,11,39,,,,,,,,,
9887_2020,62,68,-6,0.128,,54.8,141.5,,241,,0,22,85,,57.49482821,14,16.5,0.011734485,2.31,0.16,0.2,1.47,0.26,0.7,79,46,6,37,,,,,,,,,
9889_2020,63,65,-2,0.152,,54.8,112,,219.5,,18,9,87,,81.8743211,12,18.5,0.013010049,2.55,0.18,0.23,1.44,0.32,1.02,72,60,6,24,,,,,,,,,
8801_2021,70,70,0,0.128,,56.3,103,,219.5,,1,0,80,,99.60999506,13,19,0.016666667,,,,,,,,,,,,,,,,,,,
8802_2021,73,75,-2,0.17,,55.6,86,,195,,0,0,88,,132.4219938,13,18.5,0.011666667,,,,,,,,,,,1.28,0.08,2.7,20.1,5,0.36,19.3,0.11,0.28
8803_2021,70,70,0,0.157,,61.5,92.5,,193,,0,0,85,,103.3542182,13,18.5,0.013333333,,,,,,,,,,,,,,,,,,,
8805_2021,74,74,0,0.139,,55.3,96,,208,,0,1,84,,103.5848175,12.5,18,0.015,,,,,,,,,,,,,,,,,,,
8806_2021,70,73,-3,0.151,,53.8,71,,187.5,,0,0,80,,111.9881895,11.5,17.5,0.015,,,,,,,,,,,1.35,0.09,1.6,22.5,4.7,0.35,17.6,0.1,0.29
8807_2021,76,77,-1,0.146,,52.8,119.5,,248.5,,1,1,81,,93.25972416,13.5,21,0.011666667,,,,,,,,,,,,,,,,,,,
8808_2021,70,70,0,0.147,,57.7,91,,202.5,,1,0,83,,95.07537483,13,19,0.015,,,,,,,,,,,,,,,,,,,
8809_2021,74,75,-1,0.153,,55.7,121.5,,226.5,,0,0,67,,168.6145508,13.5,19,0.013333333,,,,,,,,,,,1.38,0.08,1.8,19.5,4.9,0.35,18.8,0.12,0.3
8810_2021,73,75,-2,0.15,,57.8,97,,199.5,,0,0,75,,114.1447555,12.5,17.5,0.013333333,,,,,,,,,,,1.21,0.07,1.7,18,3.9,0.33,16.3,0.1,0.27
8811_2021,73,75,-2,0.158,,59.5,110.5,,205,,0,3,69,,116.1164314,13,18,0.01,,,,,,,,,,,,,,,,,,,
8813_2021,75,76,-1,0.151,,55.4,131.5,,249.5,,0,0,77,,125.7466663,13.5,19.5,0.011666667,,,,,,,,,,,1.2,0.07,1.6,18.8,5.3,0.36,20.1,0.11,0.28
8816_2021,74,75,-1,0.166,,53.5,98,,216.5,,20,7,85,,131.36894,11,16.5,0.011666667,,,,,,,,,,,,,,,,,,,
8817_2021,76,77,-1,0.166,,56.3,93,,223,,0,0,71,,131.4057828,13,19.5,0.013333333,,,,,,,,,,,,,,,,,,,
8818_2021,74,77,-3,0.188,,55,115,,233,,0,0,81,,166.9784196,13,19,0.013333333,,,,,,,,,,,,,,,,,,,
