PlotYear,DaysToAnthesis,DaysToSilking,ASI,Moisture,KernelDryWt,TestWeight,EarHeight,EarHt2,FlagHeight,FlagHeight2,RootLodging,StalkLodging,StandCount,StandCount2,AdjustedYield15.5,EarLeaf,TotalLeaves,LeafExpansionRate,R2LeafN,R2LeafS,R2LeafP,R2LeafK,R2LeafMg,R2LeafCa,R2LeafFe,R2LeafMn,R2LeafCu,R2LeafZn,GrainN,GrainS,GrainCu,GrainFe,GrainMn,GrainK,GrainZn,GrainMg,GrainP
7619_2022,62,64,-2,0.096,,62.5,86,,194,,0,0,47,,150.2693911,12.5,18.5,0.011518607,3.36,0.208,0.307,1.454,0.187,0.582,102,31,9,22,,,,,,,,,
7620_2022,63,64,-1,0.104,,58.2,93.5,,210.5,,0,0,59,,186.0669534,13,19.5,0.008618318,3.41,0.228,0.309,1.415,0.201,0.632,106,65,11,40,,,,,,,,,
7621_2022,62,64,-2,0.101,,60.1,89,,192.5,,0,0,78,,168.3476752,13,19,0.01149109,2.96,0.193,0.273,1.218,0.211,0.492,97,66,8,30,,,,,,,,,
7622_2022,,,,,,,,,,,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,
7623_2022,,,,,,,,,,,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,
7624_2022,67,67,0,0.09,,61,99.5,,218,,0,0,38,,180.9963359,14.5,21.5,0.012941235,2.95,0.187,0.267,1.283,0.194,0.506,87,45,8,30,,,,,,,,,
7625_2022,62,64,-2,0.09,,63.5,94.5,,192.5,,0,0,49,,152.8876819,13,18.5,0.010095979,3.37,0.211,0.312,1.723,0.207,0.423,94,77,11,41,,,,,,,,,
7626_2022,61,62,-1,0.087,,61.7,94,,202,,0,0,25,,183.0756079,12,18,0.014391379,,,,,,,,,,,,,,,,,,,
7629_2022,61,63,-2,0.099,,55.6,95,,198,,0,0,32,,183.4429652,12.5,18,0.014391379,3.49,0.222,0.301,1.494,0.179,0.523,101,58,10,35,,,,,,,,,
7630_2022,63,65,-2,0.095,,58.2,118.5,,224,,0,0,64,,224.1540476,13.5,19,0.011518607,3.59,0.222,0.316,1.539,0.201,0.583,103,79,11,45,,,,,,,,,
7631_2022,63,64,-1,0.087,,59.3,92,,206.5,,0,0,39,,196.6856667,13,19,0.012941235,3.5,0.212,0.329,1.798,0.228,0.418,97,67,11,34,1.21,0.09,2,23.6,4.4,0.35,16.9,0.1,0.24
7633_2022,65,65,0,0.091,,60,107,,218.5,,0,0,34,,210.7265584,13.5,19.5,0.012941235,3.64,0.223,0.305,1.394,0.183,0.63,104,64,11,40,,,,,,,,,
7634_2022,65,65,0,0.089,,59.3,96.5,,224.5,,0,0,30,,158.7294989,14,21,0.015841524,3.08,0.173,0.277,1.884,0.128,0.321,81,55,7,29,1.31,0.09,1.7,18.4,4.3,0.34,16,0.1,0.23
7635_2022,69,69,0,0.082,,58.1,90.5,,203,,0,0,24,,225.4593209,13,19,0.012941235,2.56,0.168,0.26,1.835,0.15,0.311,74,47,8,30,,,,,,,,,
7636_2022,65,69,-4,0.084,,60.9,78,,182,,0,0,21,,149.1367243,13,19,0.012941235,2.88,0.199,0.289,1.528,0.173,0.419,106,59,8,34,,,,,,,,,
7638_2022,65,68,-3,0.095,,58.4,88,,200.5,,0,0,47,,152.2270114,14,20.5,0.010095979,2.44,0.158,0.235,1.558,0.127,0.326,81,25,6,22,,,,,,,,,
7640_2022,62,63,-1,0.094,,59.9,78,,171,,0,0,57,,140.467125,11.5,17.5,0.011518607,3.55,0.221,0.327,1.388,0.195,0.628,110,52,10,22,1.44,0.09,2.1,19.4,5.4,0.39,16.9,0.11,0.29
7641_2022,65,67,-2,0.093,,59.5,84,,180.5,,0,0,76,,156.1895813,13,18.5,0.01149109,2.93,0.175,0.258,1.311,0.176,0.452,89,45,8,29,1.35,0.1,1.8,19.8,4.4,0.37,15.7,0.1,0.27
7642_2022,62,64,-2,0.091,,59.4,100,,200.5,,0,0,35,,205.5638059,12,17.5,0.011546124,3.63,0.221,0.327,1.682,0.152,0.621,110,49,11,28,,,,,,,,,
7701_2022,67,69,-2,0.095,,56.6,109,,225.5,,0,0,55,,184.3962205,13,19,0.014418896,2.6,0.168,0.29,1.984,0.172,0.363,81,68,10,27,,,,,,,,,
7702_2022,65,67,-2,0.101,,61.5,79,,191.5,,0,0,70,,117.0922968,12,18,0.015841524,2.82,0.198,0.288,1.74,0.189,0.421,90,52,9,26,,,,,,,,,
7704_2022,66,66,0,0.095,,57,83.5,,214.5,,0,0,40,,117.5512814,14,21,0.014391379,2.67,0.192,0.299,1.473,0.167,0.454,86,28,7,32,,,,,,,,,
7706_2022,65,66,-1,0.095,,59.2,87.5,,223.5,,0,0,47,,161.7868786,12.5,20.5,0.017291669,2.91,0.194,0.318,1.713,0.167,0.509,86,29,8,27,,,,,,,,,
7707_2022,64,67,-3,0.096,,57.4,95.5,,205,,0,0,82,,141.6659128,11.5,17.5,0.017291669,2.74,0.175,0.291,1.74,0.117,0.488,82,34,7,22,,,,,,,,,
7708_2022,67,69,-2,0.107,,57.8,98.5,,225,,0,0,85,,141.5272512,14,21,0.017291669,1.81,0.126,0.215,1.626,0.102,0.236,66,31,5,18,,,,,,,,,
7709_2022,67,69,-2,0.098,,59.5,92,,184,,0,0,88,,85.36180125,13,18,0.014446413,2.57,0.161,0.279,1.665,0.174,0.337,79,43,8,23,1.16,0.1,2.2,24.1,4.9,0.42,20.4,0.12,0.33
7710_2022,66,69,-3,0.093,,56.8,114.5,,226.5,,0,0,89,,168.9409321,13,19,0.015869041,1.92,0.124,0.209,1.655,0.131,0.308,57,40,5,20,,,,,,,,,
7711_2022,63,64,-1,0.097,,59.4,104,,210,,0,0,79,,140.8714747,13.5,19,0.017319186,2.54,0.171,0.262,1.636,0.231,0.412,81,52,8,34,1.02,0.09,2.2,21.7,4.3,0.38,17.7,0.1,0.26
7713_2022,64,66,-2,0.114,,58.5,73.5,,183,,0,0,80,,126.1072026,11,17,0.017319186,3.01,0.199,0.331,1.612,0.194,0.553,94,36,8,23,1.18,0.1,2.2,20.8,5.6,0.38,20.3,0.12,0.3
7714_2022,63,64,-1,0.112,,60.1,90.5,,198.5,,0,0,84,,113.997505,11.5,17,0.015869041,2.84,0.146,0.224,1.287,0.122,0.478,66,34,6,21,,,,,,,,,
7715_2022,63,64,-1,0.092,,60.8,101.5,,205.5,,0,0,78,,126.21209,13,18.5,0.014391379,2.8,0.195,0.285,1.636,0.18,0.538,88,42,8,37,,,,,,,,,
7716_2022,61,64,-3,0.099,,60.5,102.5,,207.5,,0,0,85,,122.4616311,13,19,0.014418896,2.68,0.196,0.264,1.433,0.195,0.592,85,41,8,29,,,,,,,,,
7717_2022,67,69,-2,0.09,,59,115,,226.5,,0,0,84,,155.2943088,13,18.5,0.017291669,2.54,0.166,0.277,1.677,0.183,0.449,94,42,7,28,0.91,0.08,1.8,15.9,4,0.34,15.3,0.08,0.2
7719_2022,67,69,-2,0.094,,57.6,119.5,,231.5,,0,0,82,,150.0167839,14.5,20.5,0.012996269,2.67,0.159,0.256,1.715,0.141,0.356,76,44,7,28,0.85,0.08,2.9,17.3,5.4,0.4,18.1,0.1,0.25
7721_2022,64,65,-1,0.093,,58.1,91,,190,,0,0,84,,134.9574678,13,18.5,0.015869041,2.54,0.184,0.277,1.363,0.189,0.505,85,54,7,26,,,,,,,,,
7722_2022,69,69,0,0.088,,56.7,110.5,,224.5,,0,0,83,,122.2727605,14.5,20.5,0.018741814,2.22,0.151,0.243,1.618,0.114,0.324,70,31,6,19,,,,,,,,,
7723_2022,69,69,0,0.084,,60.3,125,,226.5,,0,0,83,,176.6609263,13,18,0.014418896,3.23,0.206,0.323,1.769,0.181,0.525,106,73,9,45,0.96,0.08,1.6,17.2,4.2,0.37,15.4,0.09,0.22
7726_2022,61,65,-4,0.087,,62.4,113,,209,,0,0,82,,178.7996009,13.5,18.5,0.015841524,2.83,0.207,0.297,1.578,0.186,0.557,90,50,9,37,,,,,,,,,
7728_2022,64,65,-1,0.1,,61.2,92.5,,196,,0,0,85,,128.1571219,12,17.5,0.014391379,2.78,0.19,0.281,1.668,0.125,0.608,89,37,8,25,,,,,,,,,
7730_2022,65,67,-2,0.1,,60.6,83.5,,180.5,,0,0,74,,158.4928867,12.5,18,0.014391379,2.65,0.18,0.289,1.559,0.16,0.38,81,44,7,24,,,,,,,,,
7731_2022,65,67,-2,0.11,,58.4,87,,216,,0,0,71,,197.1935415,12.5,20,0.015841524,2.91,0.179,0.278,1.574,0.141,0.465,81,24,7,22,,,,,,,,,
7732_2022,64,64,0,0.103,,59.1,59.5,,176,,0,1,20,,187.6719226,11.5,17.5,0.017291669,3.6,0.242,0.362,1.599,0.192,0.642,113,39,11,30,1.27,0.1,2,18.8,4.9,0.39,20.6,0.1,0.28
7733_2022,63,65,-2,0.096,,60,99,,220,,0,0,22,,231.5215625,13,20,0.018714297,2.95,0.181,0.294,1.691,0.164,0.459,85,53,9,32,,,,,,,,,
7735_2022,69,72,-3,0.103,,57.3,104,,216.5,,0,0,53,,153.9802154,13.5,19.5,0.015841524,2.42,0.142,0.246,1.782,0.13,0.306,73,46,6,22,,,,,,,,,
7736_2022,62,64,-2,0.105,,61.9,83.5,,195.5,,0,0,61,,143.9768895,12.5,18.5,0.014418896,2.95,0.199,0.289,1.482,0.177,0.5,86,48,9,34,,,,,,,,,
7737_2022,67,70,-3,0.099,,55.9,103,,223,,0,0,73,,129.8942145,13.5,20.5,0.011518607,3.38,0.198,0.286,1.618,0.141,0.417,91,25,8,27,,,,,,,,,
7738_2022,65,67,-2,0.105,,58,99,,230,,0,1,49,,155.6894868,14,21,0.014391379,2.51,0.155,0.248,1.715,0.137,0.317,73,29,7,30,1,0.08,1.4,18.2,4.2,0.4,20.7,0.11,0.28
7739_2022,65,67,-2,0.105,,60.5,94.5,,189,,0,0,52,,142.6882226,13.5,18.5,0.012968752,2.59,0.163,0.282,1.617,0.181,0.331,80,39,7,29,1.03,0.1,2,19.9,4,0.41,19.8,0.1,0.29
7740_2022,65,68,-3,0.105,,60.3,76.5,,172.5,,0,0,30,,116.1973159,13,18.5,0.012996269,2.6,0.165,0.275,1.708,0.171,0.369,80,42,8,28,1.2,0.1,1.7,19.3,4.1,0.39,17.6,0.1,0.29
7741_2022,65,67,-2,0.104,,58.7,69,,182,,0,0,20,,186.2455841,11,17,0.015869041,3.69,0.23,0.356,1.771,0.153,0.59,115,33,12,33,,,,,,,,,
7742_2022,65,67,-2,0.104,,61.4,91.5,,173.5,,0,0,46,,121.7872133,13.5,18.5,0.012941235,2.7,0.188,0.281,1.655,0.149,0.379,87,36,8,27,,,,,,,,,
7375_2023,81,84,-3,,,,68,56,189,177,3,0,52,55,,,,,,,,,,,,,,,,,,,,,,,
7118_2023,89,94,-5,0.23,52.59,53.7,40,51,162,164,3,0,29,29,,,,,,,,,,,,,,,,,,,,,,,
7452_2023,69,72,-3,0.12,31.94,56.3,25,36,112,109,0,0,33,51,,,,,,,,,,,,,,,,,,,,,,,
7143_2023,66,69,-3,0.14,30.69,58.4,38,42,91,103,0,0,54,55,,,,,,,,,,,,,,,,,,,,,,,
7561_2023,74,76,-2,0.12,50.46,55.9,42,32,116,109,1,1,26,41,,,,,,,,,,,,,,,,,,,,,,,
7244_2023,67,71,-4,0.13,50.45,56.3,37,39,97,84,0,0,51,57,,,,,,,,,,,,,,,,,,,,,,,
7555_2023,82,88,-6,0.12,22.96,41.4,31,39,78,89,0,0,18,29,,,,,,,,,,,,,,,,,,,,,,,
7097_2023,80,84,-4,0.12,22.72,46.6,78,80,157,159,0,0,32,36,,,,,,,,,,,,,,,,,,,,,,,
7480_2023,81,87,-6,0.13,54.7,54.5,54,50,144,129,6,0,26,47,,,,,,,,,,,,,,,,,,,,,,,
7034_2023,77,77,0,0.13,16.86,,47,53,130,119,0,0,61,62,,,,,,,,,,,,,,,,,,,,,,,
7360_2023,84,87,-3,0.12,56.79,51.1,92,86,175,180,0,1,51,55,,,,,,,,,,,,,,,,,,,,,,,
7089_2023,87,91,-4,0.12,77.73,53.1,76,65,162,15,0,0,38,42,,,,,,,,,,,,,,,,,,,,,,,
7353_2023,73,77,-4,0.11,69.02,55.5,58,49,125,130,0,0,43,50,,,,,,,,,,,,,,,,,,,,,,,
7121_2023,74,76,-2,0.1,37.85,52.2,59,70,121,160,0,0,35,50,,,,,,,,,,,,,,,,,,,,,,,
7418_2023,83,85,-2,0.13,59.39,54.7,52,77,158,155,1,0,41,43,,,,,,,,,,,,,,,,,,,,,,,
7057_2023,78,83,-5,0.12,29.59,57.1,70,80,152,155,0,0,54,53,,,,,,,,,,,,,,,,,,,,,,,
7447_2023,82,86,-4,0.14,38.91,57.8,59,50,139,148,0,0,55,58,,,,,,,,,,,,,,,,,,,,,,,
7050_2023,77,80,-3,0.14,19.31,,53,47,128,133,0,0,57,51,,,,,,,,,,,,,,,,,,,,,,,
7541_2023,70,76,-6,0.11,46.61,50.5,41,54,147,143,0,0,58,60,,,,,,,,,,,,,,,,,,,,,,,
7200_2023,74,76,-2,0.13,39.6,50.9,42,53,137,138,0,0,48,50,,,,,,,,,,,,,,,,,,,,,,,
7494_2023,85,93,-8,0.19,12.13,,35,47,130,137,22,0,48,50,,,,,,,,,,,,,,,,,,,,,,,
7029_2023,84,,,,,,43,34,123,103,0,0,57,60,,,,,,,,,,,,,,,,,,,,,,,
7482_2023,66,67,-1,0.15,26.97,50.4,40,30,99,105,11,0,31,45,,,,,,,,,,,,,,,,,,,,,,,
7197_2023,62,65,-3,0.13,17.01,,34,26,80,93,10,0,39,49,,,,,,,,,,,,,,,,,,,,,,,
7462_2023,74,84,-10,0.12,39.8,58.6,40,50,122,119,7,0,32,41,,,,,,,,,,,,,,,,,,,,,,,
7242_2023,67,79,-12,0.12,14.11,,34,31,106,90,0,0,60,59,,,,,,,,,,,,,,,,,,,,,,,
7327_2023,83,85,-2,0.16,25.12,50.1,93,105,168,195,18,0,62,63,,,,,,,,,,,,,,,,,,,,,,,
7120_2023,85,86,-1,0.14,26.95,48.9,101,84,171,173,0,0,41,46,,,,,,,,,,,,,,,,,,,,,,,
7392_2023,74,74,0,0.17,34.73,54.9,36,35,89,103,0,0,50,48,,,,,,,,,,,,,,,,,,,,,,,
7071_2023,68,72,-4,0.19,25.07,,24,32,88,90,0,0,59,58,,,,,,,,,,,,,,,,,,,,,,,
7566_2023,76,78,-2,0.12,27.28,51.7,63,46,148,132,2,0,21,38,,,,,,,,,,,,,,,,,,,,,,,
7049_2023,74,79,-5,0.14,27.87,50.2,52,50,125,129,0,0,47,53,,,,,,,,,,,,,,,,,,,,,,,
7396_2023,64,70,-6,0.12,42.16,53.8,28,28,95,103,0,0,54,56,,,,,,,,,,,,,,,,,,,,,,,
7102_2023,64,66,-2,0.14,26.07,54.3,20,35,93,107,0,0,43,49,,,,,,,,,,,,,,,,,,,,,,,
7371_2023,71,77,-6,0.12,34.51,54.3,50,60,144,150,0,0,37,55,,,,,,,,,,,,,,,,,,,,,,,
7018_2023,69,77,-8,0.12,17.54,,37,39,129,118,0,0,58,58,,,,,,,,,,,,,,,,,,,,,,,
7383_2023,71,74,-3,0.13,31.89,55.6,38,40,104,112,0,0,48,55,,,,,,,,,,,,,,,,,,,,,,,
7226_2023,68,75,-7,0.11,24.68,50.8,38,36,89,77,0,0,45,47,,,,,,,,,,,,,,,,,,,,,,,
7430_2023,77,84,-7,0.12,61.59,57,57,54,150,169,1,0,30,43,,,,,,,,,,,,,,,,,,,,,,,
7198_2023,70,74,-4,0.13,61.37,58.1,39,55,125,135,4,0,53,57,,,,,,,,,,,,,,,,,,,,,,,
7505_2023,81,84,-3,0.14,28.65,52.9,35,35,109,99,3,0,41,50,,,,,,,,,,,,,,,,,,,,,,,
7214_2023,76,87,-11,0.13,27.38,54.4,42,30,114,118,2,0,55,59,,,,,,,,,,,,,,,,,,,,,,,
7367_2023,74,74,0,,,,57,71,155,147,0,0,8,33,,,,,,,,,,,,,,,,,,,,,,,
7137_2023,81,87,-6,0.12,27.17,45.7,46,72,144,123,0,0,26,33,,,,,,,,,,,,,,,,,,,,,,,
7404_2023,76,77,-1,0.13,43.73,59.6,46,53,159,142,5,0,53,60,,,,,,,,,,,,,,,,,,,,,,,
7124_2023,80,85,-5,0.14,46,59.8,63,68,164,155,1,0,32,47,,,,,,,,,,,,,,,,,,,,,,,
7312_2023,78,84,-6,0.13,48.16,53.6,79,68,158,158,1,0,57,61,,,,,,,,,,,,,,,,,,,,,,,
7322_2023,77,83,-6,0.14,51.09,55.4,78,79,168,170,0,0,57,49,,,,,,,,,,,,,,,,,,,,,,,
7336_2023,81,84,-3,0.14,45.88,53.2,67,73,151,160,0,0,54,53,,,,,,,,,,,,,,,,,,,,,,,
7365_2023,80,84,-4,0.12,61.96,53.9,70,67,169,168,0,0,56,58,,,,,,,,,,,,,,,,,,,,,,,
7372_2023,94,99,-5,,,,66,81,124,157,0,0,4,47,,,,,,,,,,,,,,,,,,,,,,,
7379_2023,79,83,-4,0.13,37.77,52.8,55,69,132,156,0,0,45,54,,,,,,,,,,,,,,,,,,,,,,,
7387_2023,82,84,-2,0.13,52.15,52.2,61,61,149,151,0,0,54,61,,,,,,,,,,,,,,,,,,,,,,,
7401_2023,80,83,-3,0.13,46.72,52.3,78,62,162,147,0,0,45,58,,,,,,,,,,,,,,,,,,,,,,,
7408_2023,82,84,-2,0.12,45.98,51.2,58,54,148,147,0,0,54,59,,,,,,,,,,,,,,,,,,,,,,,
7423_2023,83,87,-4,0.12,51.59,52.6,66,65,156,150,0,0,47,58,,,,,,,,,,,,,,,,,,,,,,,
7444_2023,87,90,-3,0.13,45.98,53.1,82,98,173,180,4,0,30,59,,,,,,,,,,,,,,,,,,,,,,,
7446_2023,78,83,-5,0.13,56.23,52.8,66,67,166,160,0,0,56,58,,,,,,,,,,,,,,,,,,,,,,,
7451_2023,82,87,-5,0.13,45.72,52.5,72,67,157,156,1,0,39,56,,,,,,,,,,,,,,,,,,,,,,,
7466_2023,80,87,-7,0.11,35.67,50.2,56,63,143,150,0,2,36,58,,,,,,,,,,,,,,,,,,,,,,,
7486_2023,84,92,-8,,,,66,64,144,150,0,0,20,52,,,,,,,,,,,,,,,,,,,,,,,
7500_2023,82,88,-6,0.12,41.58,51.3,61,63,150,159,1,0,52,59,,,,,,,,,,,,,,,,,,,,,,,
7511_2023,84,91,-7,0.19,18.55,,91,51,164,153,0,0,20,53,,,,,,,,,,,,,,,,,,,,,,,
7520_2023,83,89,-6,0.15,48.58,49.5,64,60,162,159,2,0,33,60,,,,,,,,,,,,,,,,,,,,,,,
7537_2023,83,85,-2,0.12,38.98,51.6,66,65,151,149,2,0,49,58,,,,,,,,,,,,,,,,,,,,,,,
7558_2023,92,92,0,0.16,33.21,50.2,77,67,167,152,1,5,10,58,,,,,,,,,,,,,,,,,,,,,,,
7567_2023,87,89,-2,0.12,30.42,49,54,96,142,170,0,0,24,60,,,,,,,,,,,,,,,,,,,,,,,
7573_2023,82,85,-3,0.11,36.09,52.1,71,78,162,166,1,0,50,59,,,,,,,,,,,,,,,,,,,,,,,
7580_2023,80,83,-3,0.13,47.27,52.3,82,74,168,162,0,0,62,63,,,,,,,,,,,,,,,,,,,,,,,
7582_2023,77,82,-5,0.12,42.7,54.9,65,73,141,158,2,1,,57,,,,,,,,,,,,,,,,,,,,,,,
7013_2023,79,82,-3,0.14,19.95,,62,65,133,135,0,0,53,51,,,,,,,,,,,,,,,,,,,,,,,
7032_2023,77,83,-6,0.14,16.69,30.4,63,60,144,136,0,0,59,56,,,,,,,,,,,,,,,,,,,,,,,
7040_2023,77,82,-5,0.13,30.89,53.4,72,71,142,147,0,0,59,57,,,,,,,,,,,,,,,,,,,,,,,
7043_2023,80,84,-4,0.18,28.46,51.2,65,60,139,145,2,0,51,54,,,,,,,,,,,,,,,,,,,,,,,
7056_2023,79,83,-4,0.13,21.12,43.3,57,61,138,133,0,0,63,61,,,,,,,,,,,,,,,,,,,,,,,
7075_2023,81,84,-3,0.13,28.02,51,56,66,141,143,0,0,42,52,,,,,,,,,,,,,,,,,,,,,,,
7090_2023,84,87,-3,0.12,42.01,52.6,50,63,136,145,0,0,41,47,,,,,,,,,,,,,,,,,,,,,,,
7099_2023,83,86,-3,0.12,38.98,52.7,19,26,110,112,0,0,43,49,,,,,,,,,,,,,,,,,,,,,,,
7107_2023,83,86,-3,0.12,42.29,55.9,55,55,142,135,0,0,43,57,,,,,,,,,,,,,,,,,,,,,,,
7110_2023,83,85,-2,0.15,44.37,54.6,60,60,146,150,0,0,45,54,,,,,,,,,,,,,,,,,,,,,,,
7128_2023,79,84,-5,0.13,45.27,51.7,58,78,141,153,0,1,37,52,,,,,,,,,,,,,,,,,,,,,,,
7144_2023,80,85,-5,0.13,31.78,52.9,57,61,143,145,0,0,52,54,,,,,,,,,,,,,,,,,,,,,,,
7157_2023,88,90,-2,0.18,46.09,51,75,75,146,150,0,0,20,54,,,,,,,,,,,,,,,,,,,,,,,
7171_2023,83,89,-6,0.14,27.33,50.8,68,60,150,139,0,0,45,52,,,,,,,,,,,,,,,,,,,,,,,
7181_2023,80,84,-4,,,,56,64,145,150,0,0,42,58,,,,,,,,,,,,,,,,,,,,,,,
7194_2023,80,84,-4,0.16,25.52,47.9,68,50,151,142,0,0,37,42,,,,,,,,,,,,,,,,,,,,,,,
7202_2023,82,85,-3,0.13,35.12,55.4,65,69,153,151,0,0,58,59,,,,,,,,,,,,,,,,,,,,,,,
7215_2023,84,87,-3,0.15,21.57,,62,56,148,136,0,0,48,59,,,,,,,,,,,,,,,,,,,,,,,
7229_2023,80,83,-3,0.14,43.69,57.1,84,75,168,173,1,0,50,54,,,,,,,,,,,,,,,,,,,,,,,
7245_2023,80,83,-3,0.11,25.2,,54,58,129,140,0,0,56,61,,,,,,,,,,,,,,,,,,,,,,,
7258_2023,80,86,-6,0.14,55.42,52.7,63,60,148,147,0,0,49,55,,,,,,,,,,,,,,,,,,,,,,,
7268_2023,79,86,-7,0.12,37.85,53.9,50,63,142,150,0,0,49,59,,,,,,,,,,,,,,,,,,,,,,,
7271_2023,79,84,-5,0.13,23.73,50.4,67,64,142,148,0,0,62,63,,,,,,,,,,,,,,,,,,,,,,,
7279_2023,79,83,-4,0.12,34.37,56.2,78,71,156,143,0,0,59,60,,,,,,,,,,,,,,,,,,,,,,,
7523_2023,87,94,-7,0.17,13.04,,70,70,165,167,0,0,23,48,,,,,,,,,,,,,,,,,,,,,,,
7074_2023,83,86,-3,,,,50,56,162,155,0,0,51,46,,,,,,,,,,,,,,,,,,,,,,,
7318_2023,72,74,-2,0.14,121.79,60,100,92,195,184,3,0,57,62,,,,,,,,,,,,,,,,,,,,,,,
7059_2023,76,74,2,0.18,71.67,55,106,104,185,186,11,0,57,58,,,,,,,,,,,,,,,,,,,,,,,
7429_2023,70,71,-1,0.13,54.32,55.5,59,57,124,122,4,0,42,50,,,,,,,,,,,,,,,,,,,,,,,
7023_2023,64,66,-2,0.14,24.99,51.9,53,61,118,118,5,0,53,54,,,,,,,,,,,,,,,,,,,,,,,
7425_2023,87,88,-1,0.2,31.75,47.9,72,73,141,148,0,0,7,27,,,,,,,,,,,,,,,,,,,,,,,
7055_2023,80,84,-4,0.11,14.16,,63,53,115,127,0,0,54,53,,,,,,,,,,,,,,,,,,,,,,,
7562_2023,85,89,-4,0.12,28.31,52.3,52,64,137,138,26,0,11,42,,,,,,,,,,,,,,,,,,,,,,,
7255_2023,74,80,-6,0.12,29.76,61,46,37,122,115,0,0,41,53,,,,,,,,,,,,,,,,,,,,,,,
7406_2023,77,83,-6,0.12,23.96,,39,52,132,142,0,0,59,59,,,,,,,,,,,,,,,,,,,,,,,
7047_2023,81,88,-7,0.14,5.89,,34,45,116,134,0,0,56,54,,,,,,,,,,,,,,,,,,,,,,,
7549_2023,90,91,-1,0.14,38.69,57.6,68,70,181,158,32,0,26,54,,,,,,,,,,,,,,,,,,,,,,,
7086_2023,77,85,-8,0.13,33.91,56.6,60,55,171,170,23,0,58,58,,,,,,,,,,,,,,,,,,,,,,,
7314_2023,71,75,-4,0.13,31.96,56.7,39,34,118,121,0,0,48,53,,,,,,,,,,,,,,,,,,,,,,,
7178_2023,73,74,-1,0.13,41.35,57.7,30,30,111,107,0,0,52,60,,,,,,,,,,,,,,,,,,,,,,,
7459_2023,71,74,-3,0.15,33.96,48.4,30,26,119,120,0,0,18,36,,,,,,,,,,,,,,,,,,,,,,,
7207_2023,64,67,-3,0.12,19.45,41.1,28,30,86,87,1,0,31,39,,,,,,,,,,,,,,,,,,,,,,,
7540_2023,71,74,-3,0.14,33.42,55.1,38,46,130,142,15,2,46,64,,,,,,,,,,,,,,,,,,,,,,,
7130_2023,74,84,-10,0.12,22.5,47,42,40,132,122,0,0,35,42,,,,,,,,,,,,,,,,,,,,,,,
7514_2023,83,89,-6,0.17,19.53,,40,34,109,134,0,0,27,49,,,,,,,,,,,,,,,,,,,,,,,
7035_2023,75,86,-11,0.14,25.63,,30,29,93,111,0,0,59,58,,,,,,,,,,,,,,,,,,,,,,,
7475_2023,84,90,-6,0.37,10.29,,69,81,160,155,25,0,48,54,,,,,,,,,,,,,,,,,,,,,,,
7221_2023,86,90,-4,,,,74,71,146,148,20,0,37,51,,,,,,,,,,,,,,,,,,,,,,,
7431_2023,84,88,-4,0.15,29.68,,70,68,135,132,31,0,31,44,,,,,,,,,,,,,,,,,,,,,,,
7012_2023,82,85,-3,0.14,22.61,,55,62,115,125,13,0,52,52,,,,,,,,,,,,,,,,,,,,,,,
7528_2023,90,93,-3,0.15,24.41,51.3,67,49,131,117,0,0,25,45,,,,,,,,,,,,,,,,,,,,,,,
7188_2023,77,83,-6,0.13,35.57,55.3,50,52,120,110,0,0,48,50,,,,,,,,,,,,,,,,,,,,,,,
7445_2023,83,90,-7,0.23,60.5,51.1,63,65,166,173,0,0,49,54,,,,,,,,,,,,,,,,,,,,,,,
7007_2023,80,84,-4,0.13,32.34,57,76,79,143,157,0,0,61,60,,,,,,,,,,,,,,,,,,,,,,,
7550_2023,90,92,-2,0.15,55.91,51.4,75,70,150,153,0,0,28,45,,,,,,,,,,,,,,,,,,,,,,,
7193_2023,83,88,-5,0.17,30.08,45,53,55,134,137,0,0,46,46,,,,,,,,,,,,,,,,,,,,,,,
7331_2023,93,92,1,0.11,28.1,50.8,88,86,150,132,1,0,22,25,,,,,,,,,,,,,,,,,,,,,,,
7001_2023,89,89,0,0.15,18.33,,76,71,139,135,0,0,31,31,,,,,,,,,,,,,,,,,,,,,,,
7427_2023,60,64,-4,0.12,22.11,,24,18,91,77,,,52,58,,,,,,,,,,,,,,,,,,,,,,,
7054_2023,60,62,-2,0.13,14.62,30.7,39,28,103,90,0,0,57,49,,,,,,,,,,,,,,,,,,,,,,,
7323_2023,60,64,-4,0.14,18.77,40.4,35,31,107,110,,,59,59,,,,,,,,,,,,,,,,,,,,,,,
7058_2023,60,65,-5,0.11,18.16,,45,40,97,130,11,0,57,54,,,,,,,,,,,,,,,,,,,,,,,
7565_2023,90,92,-2,0.16,20.05,,66,73,145,139,19,0,32,53,,,,,,,,,,,,,,,,,,,,,,,
7111_2023,95,96,-1,0.17,17.78,,66,63,136,134,7,0,27,36,,,,,,,,,,,,,,,,,,,,,,,
7516_2023,98,100,-2,0.13,12.06,,97,93,184,189,0,0,49,52,,,,,,,,,,,,,,,,,,,,,,,
7073_2023,101,102,-1,0.1,12.06,,83,84,173,167,0,0,51,50,,,,,,,,,,,,,,,,,,,,,,,
7315_2023,85,86,-1,0.12,46.35,56.5,48,52,119,122,0,0,39,43,,,,,,,,,,,,,,,,,,,,,,,
